subcategory,metric,term,coef,stat,pval,ci_low,ci_high,effect_size,converged,n_obs,n_subjects,pval_fdr
105,disturbance,Intercept,4.25,9.525374357020148,1.644481320830309e-21,3.3755097571933037,5.124490242806696,2.2670985360935956,True,36,12,8.222406604151545e-21
105,disturbance,"C(version, Treatment(reference='default'))[T.personalized]",-1.0000000000000002,-2.591334438501323,0.009560453117043465,-1.7563531574386764,-0.24364684256132407,-0.5334349496690814,True,36,12,0.028529315220278007
105,disturbance,"C(version, Treatment(reference='default'))[T.personified]",-0.2500000000000002,-0.6478336096253312,0.5170925746640853,-1.0063531574386764,0.5063531574386759,-0.13335873741727045,True,36,12,0.6463657183301066
105,disturbance,"C(mode, Sum)[S.0]",1.0833333333333333,2.4280366008090573,0.015180811170300814,0.20884309052663685,1.9578235761400298,0.5778878621415048,True,36,12,0.06875250051101953
105,disturbance,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",-1.0000000000000002,-2.591334438501323,0.009560453117043465,-1.7563531574386764,-0.24364684256132407,-0.5334349496690814,True,36,12,0.09560453117043465
105,disturbance,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.08333333333333319,0.21594453654177648,0.8290309808648352,-0.673019824105343,0.8396864907720093,0.04445291247242337,True,36,12,0.8290309808648352
105,disturbance,Group Var,1.673564608294541,1.6678182011213016,0.09535182159978914,-0.2931523611286855,3.6402815777177677,0.8927378525935543,True,36,12,0.38280599495302753
105,satisfaction,Intercept,3.3333333333333317,8.008903729308287,1.1573545976417267e-15,2.5175895683168883,4.149077098349776,1.8776475474017773,True,36,12,1.1573545976417267e-15
105,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]",0.33333333333333554,0.5663150144733374,0.5711796554930533,-0.8203025609711783,1.4869692276378492,0.18776475474017906,True,36,12,0.6424403558634559
105,satisfaction,"C(version, Treatment(reference='default'))[T.personified]",-0.2499999999999979,-0.4247362608549967,0.6710289470618647,-1.4036358943045117,0.9036358943045159,-0.1408235660551322,True,36,12,0.7748139716459622
105,satisfaction,"C(mode, Sum)[S.0]",-1.1666666666666665,-2.8031163052579013,0.005061141424157022,-1.98241043168311,-0.350922901650223,-0.6571766415906223,True,36,12,0.016870471413856742
105,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",0.6666666666666666,1.1326300289466673,0.2573696527001714,-0.4869692276378471,1.8203025609711805,0.3755295094803556,True,36,12,0.5147393054003429
105,satisfaction,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",0.08333333333333291,0.14157875361833272,0.887412750016835,-1.070302560971181,1.2369692276378466,0.04694118868504422,True,36,12,0.9999999999999991
105,satisfaction,Group Var,2.7790953178012835e-09,1.3413908943873505e-08,0.9999999892972492,-0.4060655784981781,0.4060655840563688,1.5654484522396036e-09,True,36,12,0.9999999892972492
201,appropriateness,Intercept,2.833333333333334,6.84578087973433,7.605982501380817e-12,2.0221429976961725,3.6445236689704954,1.3814812941324026,True,36,12,8.451091668200908e-12
201,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]",3.333333333333331,6.905241214134703,5.011819385799574e-12,2.387209500841137,4.279457165825525,1.6252721107440014,True,36,12,5.0118193857995735e-11
201,appropriateness,"C(version, Treatment(reference='default'))[T.personified]",2.3333333333333317,4.833668849894293,1.3403948673516837e-06,1.3872095008411378,3.2794571658255256,1.137690477520801,True,36,12,1.3403948673516835e-05
201,appropriateness,"C(mode, Sum)[S.0]",-0.16666666666666682,-0.4026929929255491,0.6871740893354146,-0.9778570023038284,0.6445236689704947,-0.0812636055372002,True,36,12,0.7023443414648963
201,appropriateness,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",0.5,1.0357861821202063,0.30030190538187873,-0.4461238324921938,1.446123832492194,0.2437908166116004,True,36,12,0.6006038107637575
201,appropriateness,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",-0.16666666666666657,-0.3452620607067352,0.7298973661248899,-1.1127904991588604,0.7794571658255272,-0.08126360553720008,True,36,12,0.8344340904352427
201,appropriateness,Group Var,0.47021065829797154,1.1703304074904106,0.24186802961833498,-0.31725581229225414,1.2576771288881972,0.22926608073188134,True,36,12,0.40311338269722496
201,disturbance,Intercept,4.416666666666667,9.023379623101297,1.823742731669519e-19,3.457324606378835,5.376008726954499,2.2024418154995926,True,36,12,6.079142438898397e-19
201,disturbance,"C(version, Treatment(reference='default'))[T.personalized]",-2.416666666666668,-5.227291800403378,1.7201091888385629e-07,-3.3227916373330504,-1.5105416960002853,-1.205109672631853,True,36,12,1.7201091888385628e-06
201,disturbance,"C(version, Treatment(reference='default'))[T.personified]",-1.5833333333333344,-3.4247773864711792,0.0006153033669936496,-2.489458303999717,-0.6772083626669518,-0.7895546131036281,True,36,12,0.0061530336699364965
201,disturbance,"C(mode, Sum)[S.0]",0.24999999999999994,0.510757337156677,0.6095209861876385,-0.7093420602878322,1.209342060287832,0.12466651785846748,True,36,12,0.6095209861876385
201,disturbance,"C(version, Treatment(reference='default'))[T.personalized]:C(mode, Sum)[S.0]",-0.416666666666667,-0.9012572069661,0.36745158077697104,-1.3227916373330495,0.4894583039997155,-0.20777752976411268,True,36,12,0.6124193012949518
201,disturbance,"C(version, Treatment(reference='default'))[T.personified]:C(mode, Sum)[S.0]",-0.2500000000000003,-0.5407543241796602,0.5886769293038989,-1.1561249706663828,0.6561249706663823,-0.12466651785846765,True,36,12,0.8290309808648352
201,disturbance,Group Var,1.2418201554948411,1.5767989276510739,0.11484179848590825,-0.30176459546106216,2.7854049064507445,0.6192535783680101,True,36,12,0.38280599495302753
201,satisfaction,Intercept,3.416666666666667,8.876740363185563,6.884825865064933e-19,2.6622744754049164,4.171058857928418,1.8460657512963514,True,36,12,9.835465521521333e-19
201,satisfaction,"C(version, Treatment(reference='default'))[T.personalized]",2.916666666666666,6.331763396317794,2.4237496833945495e-10,2.01382787378006,3.8195054595532723,1.5759097876920067,True,36,12,2.4237496833945493e-09
